FlowName,SRS_ID,SRS_CAS,Source,FlowID
OTH INORGANIC LIQUID,,,RCRAInfo,W119
OTH INORGANIC SLUDGE,,,RCRAInfo,W519
OTH INORGANIC SOLIDS,,,RCRAInfo,W319
OTH ORGANIC LIQUID,,,RCRAInfo,W219
OTH ORGANIC SOLIDS,,,RCRAInfo,W409
OTHER AQUEOUS WST,,,RCRAInfo,W113
OTHER ORGANIC SLUDGE,,,RCRAInfo,W609
OTHER SLUDGES,,,RCRAInfo,W504
PAINT THINNER,,,RCRAInfo,W211
"PAINT, INK SLUDGE",,,RCRAInfo,W604
"PAINT, INK, ETC.",,,RCRAInfo,W209
PESTICIDE SOLIDS,,,RCRAInfo,W401
PYRIDINE,,,RCRAInfo,D038
REACTIVE ORG. LIQUID,,,RCRAInfo,W210
RESIDUES FROM MANUFACTURING AND MANUFACTURING-SITE STORAGE OF FERRIC CHLORIDE FROM ACIDS FORMED DURING THE PRODUCTION OF TITANIUM DIOXIDE USING THE CHLORIDE-ILMENITE PROCESS.,,,RCRAInfo,K178
"RESINS, TAR SLUDGE",,,RCRAInfo,W606
SEDIMENT,,,RCRAInfo,W512
"SOLID RESINS, ETC.",,,RCRAInfo,W403
SOLID THERMAL RES.,,,RCRAInfo,W304
SOLVENT MIXTURE,,,RCRAInfo,W204
SPENT ACID,,,RCRAInfo,W103
SPENT FILTERS,,,RCRAInfo,W310
STILL BOTTOMS,,,RCRAInfo,W200
TANK STORAGE RESIDUES FROM THE PRODUCTION OF COKE FROM COAL OR FROM THE RECOVERY OF COKE BY-PRODUCTS FROM COAL.,,,RCRAInfo,K142
TETRACHLOROETHYLENE,,,RCRAInfo,D039
WASTE PHARMACEUTICAL,,,RCRAInfo,W005
"ZINC PHOSPHIDE ZN3P2, WHEN PRESENT AT CONCENTRATIONS OF 10% OR LESS",,,RCRAInfo,U249
BAGHOUSE DUST AND FLOOR SWEEPINGS IN MILLING AND PACKAGING OPERATIONS FROM PRODUCTION OR FORMULATION OF ETHYLENEBISDITHIOCARBAMIC ACID AND ITS SALTS.,,,RCRAInfo,K126
COLUMN BOTTOMS OR HEAVY ENDS FROM THE COMBINED PRODUCTION OF TRICHLOROETHYLENE AND PERCHLOROETHYLENE.,,,RCRAInfo,K030
"DISTILLATION BOTTOMS FROM THE PRODUCTION OF 1,1,1-TRICHLOROETHANE.",,,RCRAInfo,K095
DISTILLATION LIGHT ENDS FROM THE PRODUCTION OF PHTHALIC ANHYDRIDE FROM NAPHTHALENE.,,,RCRAInfo,K023
OVEN RESIDUE FROM THE PRODUCTION OF CHROME OXIDE GREEN PIGMENTS.,,,RCRAInfo,K008
"SLAG FROM THE PRODUCTION OF ANTIMONY OXIDE THAT IS SPECULATIVELY ACCUMULATED OR DISPOSED,INCLUDING SLAG FROM THE PRODUCTION OF INTERMEDIATES (E.G.,ANTIMONY METAL OR CRUDE ANTIMONY OXIDE)",,,RCRAInfo,K177
STRIPPING STILL TAILS FROM THE PRODUCTION OF METHYL ETHYL PYRIDINES.,,,RCRAInfo,K026
"WASTEWATER TREATMENT SLUDGES, EXCLUDING NEUTRALIZATION AND BIOLOGICAL SLUDGES, GENERATED DURING THE TREATMENT OF WASTEWATERS FROM THE PRODUCTION OF ALPHA (OR METHYL-) CHLORINATED TOLUNES, BENZOYL CHLORIDES, AND COMPOUNDS WITH MIXTURES OF THESE FUNCTIONAL GROUPS.",,,RCRAInfo,K151
DISTILLATION TAR RESIDUES FROM THE DISTILLATION OF ANILINE-BASED COMPOUNDS IN THE PRODUCTION OF VETERINARY PHARMACEUTICALS FROM ARSENIC OR ORGANO-ARSENIC COMPOUNDS.,,,RCRAInfo,K101
ORGANICS FROM THE TREATMENT OF THIOCARBAMATE WASTES.,,,RCRAInfo,K159
REACTION BY-PRODUCT WATER FROM THE DRYING COLUMN IN THE PRODUCTION OF TOLUENEDIAMINE VIA HYDROGENATION OF DINITROTOLUENE.,,,RCRAInfo,K112
RESIDUE FROM THE USE OF ACTIVATED CARBON FOR DECOLORIZATION IN THE PRODUCTION OF VETERINARY PHARMACEUTICALS FROM ARSENIC OR ORGANO-ARSENIC COMPOUNDS.,,,RCRAInfo,K102
WASTEWATER TREATMENT SLUDGES GENERATED DURING THE PRODUCTION OF VETERINARY PHARMACEUTICALS FROM ARSENIC OR ORGANO-ARSENIC COMPOUNDS.,,,RCRAInfo,K084
,,,RCRAInfo,nan
,,,RCRAInfo,DMIX
,,,RCRAInfo,FMIX
CONDENSED LIQUID LIGHT ENDS FROM PURIFICATION OF TOLUENEDIAMINE IN PRODUCTION OF TOLUENEDIAMINE VIA HYDROGENATION OF DINITROTOLUENE.,,,RCRAInfo,K113
DISTILLATION BOTTOMS FROM THE PRODUCTION OF PHTHALIC ANHYDRIDE FROM NAPHTHALENE.,,,RCRAInfo,K024
DISTILLATION LIGHT ENDS FROM THE PRODUCTION OF PHTHALIC ANHYDRIDE FROM ORTHO-XYLENE.,,,RCRAInfo,K093
DISTILLATION SIDE CUTS FROM THE PRODUCTION OF ACETALDEHYDE FROM ETHYLENE.,,,RCRAInfo,K010
"SPENT CATALYST FROM THE HYDROCHLORINATOR REACTOR IN THE PRODUCTION OF 1,1,1-TRICHLOROETHANE.",,,RCRAInfo,K028
,,,RCRAInfo,PEST
"BAGHOUSE FILTERS FROM THE PRODUCTION OF ANTIMONY OXIDE, INCLUDING FILTERS FROM THE PRODUCTION OF INTERMEDIATES (E.G.,ANTIMONY METAL OR CRUDE ANTIMONY OXIDE)",,,RCRAInfo,K176
UNKNOWN,,,RCRAInfo,UNKN
WASTEWATER TREATMENT SLUDGE FROM THE PRODUCTION OF MOLYBDATE ORANGE PIGMENTS.,,,RCRAInfo,K003
"PROCESS WASTEWATER (INCLUDING SUPERNATES, FILTRATES, AND WASHWATERS) FROM THE PRODUCTION OF ETHYLENEBISDITHIOCARBAMIC ACID AND ITS SALTS.",,,RCRAInfo,K123
"WASTE FROM THE PRODUCT STEAM STRIPPER IN THE PRODUCTION OF 1,1,1-TRICHLOROETHANE.",,,RCRAInfo,K029
WASTE LEACHING SOLUTION FROM ACID LEACHING OF EMISSION CONTROL DUST/SLUDGE FROM SECONDARY LEAD SMELTING.,,,RCRAInfo,K100
WASTEWATER TREATMENT SLUDGE FROM THE PRODUCTION OF VINYL CHLORIDE MONOMER..,,,RCRAInfo,K175
Slagwool (Man-Made Fibers),,,NEI,616
