FlowID,FlowName,Source,SRS_ID,Proxy_Used,Proxy_Name
K144,"WASTEWATER SUMP RESIDUES FROM LIGHT OIL REFINING, INCLUDING, BUT NOT LIMITED TO, INTERCEPTING OR CONTAMINATION SUMP SLUDGES FROM THE RECOVERY OF COKE BY-PRODUCTS PRODUCED FROM COAL.",RCRAInfo,4360,0,
K143,"PROCESS RESIDUES FROM THE RECOVERY OF LIGHT OIL, INCLUDING, BUT NOT LIMITED TO, THOSE GENERATED IN STILLS, DECANTERS, AND WASH OIL RECOVERY UNITS FROM THE RECOVERY OF COKE BY-PRODUCTS PRODUCED FROM COAL.",RCRAInfo,4361,0,
K141,"PROCESS RESIDUES FROM THE RECOVERY OF COAL TAR, INCLUDING, BUT NOT LIMITED TO, TAR COLLECTING SUMP RESIDUES FROM THE PRODUCTION OF COKE FROM COAL OR THE RECOVERY OF COKE BY-PRODUCTS PRODUCED FROM COAL.  THIS LISTING DOES NOT INCLUDE K087 (DECANTER TANK SLUDGE FROM COKING OPERATIONS).",RCRAInfo,4363,0,
K132,SPENT ABSORBENT AND WASTEWATER SEPARATOR SOLIDS FROM THE PRODUCTION OF METHYL BROMIDE.,RCRAInfo,4366,0,
K131,WASTEWATER FROM THE REACTOR AND SPENT SULFURIC ACID FROM THE ACID DRYER FROM THE PRODUCTION OF METHYL BROMIDE.,RCRAInfo,4367,0,
K117,WASTEWATER FROM THE REACTOR VENT GAS SCRUBBER IN THE PRODUCTION OF ETHYLENE DIBROMIDE VIA BROMINATION OF ETHENE.,RCRAInfo,4373,0,
K116,ORGANIC CONDENSATE FROM THE SOLVENT RECOVERY COLUMN IN THE PRODUCTION OF TOLUENE DIISOCYANATE VIA PHOSGENATION OF TOLUENEDIAMINE.,RCRAInfo,4374,0,
K115,HEAVY ENDS FROM PURIFICATION OF TOLUENEDIAMINE IN THE PRODUCTION OF TOLUENEDIAMINE VIA HYDROGENATION OF DINITROTOLUENE.,RCRAInfo,4375,0,
K114,VICINALS FROM THE PURIFICATION OF TOLUENEDIAMINE IN PRODUCTION OF TOLUENEDIAMINE VIA HYDROGENATION OF DINITROTOLUENE.,RCRAInfo,4376,0,
K111,PRODUCT WASHWATERS FROM THE PRODUCTION OF DINITROTOLUENE VIA NITRATION OF TOLUENE.,RCRAInfo,4379,0,
K156,"ORGANIC WASTE (INCLUDING HEAVY ENDS, STILL BOTTOMS, LIGHT ENDS, SPENT SOLVENTS, FILTRATES, AND DECANTATES) FROM THE PRODUCTION OF CARBAMATES AND CARBAMOYL OXIMES.",RCRAInfo,4393,0,
K172,"SPENT HYDROREFINING CATALYST FROM PETROLEUM REFINING OPERATIONS, INCLUDING GUARD BEDS USED TO DESULFURIZE FEEDS TO OTHER CATALYTIC REACTORS (THIS LISTING DOES NOT INCLUDE INERT SUPPORT MEDIA)",RCRAInfo,4394,0,
K171,"SPENT HYDROTREATING CATALYST FROM PETROLEUM REFINING OPERATIONS,INCLUDING GUARD BEDS USED TO DESULFURIZE FEEDS TO OTHER CATALYTIC REACTORS (THIS LISTING DOES NOT INCLUDE INERT SUPPORT MEDIA)",RCRAInfo,4395,0,
K170,CLARIFIED SLURRY OIL TANK SEDIMENT AND/OR IN-LINE FILTER/SEPARATION SOLIDS FROM PETROLEUM REFINING OPERATIONS,RCRAInfo,4396,0,
K169,CRUDE OIL STORAGE TANK SEDIMENT FROM PETROLEUM REFINING OPERATIONS,RCRAInfo,4397,0,
K161,"PURIFICATION SOLIDS (INCLUDING FILTRATION, EVAPORATION, AND CENTRIFUGATION SOLIDS), BAG HOUSE DUST AND FLOOR SWEEPINGS FROM THE PRODUCTION OF DITHIOCARBAMATE ACIDS AND THEIR SALTS. (THIS LISTING DOES NOT INCLUDE K125 OR K126).",RCRAInfo,4398,0,
K158,BAG HOUSE DUSTS AND FILTER/SEPARATION SOLIDS FROM THE PRODUCTION OF CARBAMATES AND CARBAMOYL OXIMES.,RCRAInfo,4400,0,
K157,"WASTEWATERS (INCLUDING SCRUBBER WATERS, CONDENSER WATERS, WASHWATERS, AND SEPARATION WATERS) FROM THE PRODUCTION OF CARBAMATES AND CARBAMOYL OXIMES.",RCRAInfo,4401,0,
K002,WASTEWATER TREATMENT SLUDGE FROM THE PRODUCTION OF CHROME YELLOW AND ORANGE PIGMENTS.,RCRAInfo,4403,0,
K001,BOTTOM SEDIMENT SLUDGE FROM THE TREATMENT OF WASTEWATERS FROM WOOD PRESERVING PROCESSES THAT USE CREOSOTE AND/OR PENTACHLOROPHENOL.,RCRAInfo,4404,0,
W303,ASH,RCRAInfo,14305,0,
OC,Organic Carbon portion of PM2.5-PRI,NEI,35872,1,organic carbon
P001,"2H-1-BENZOPYRAN-2-ONE, 4-HYDROXY-3-(3-OXO-1-PHENYLBUTYL)-, & SALTS, WHEN PRESENT AT CONCENTRATIONS GREATER THAN 0.3% (OR) WARFARIN, & SALTS, WHEN PRESENT AT CONCENTRATIONS GREATER THAN 0.3%",RCRAInfo,35888,0,
383,Fine Mineral Fibers,NEI,35894,0,
617,Rockwool (Man-Made Fibers),NEI,35894,1,fine mineral fiber
7440622,VANADIUM (EXCEPT WHEN CONTAINED IN AN ALLOY),TRI,36819,0,
EC,Elemental Carbon portion of PM2.5-PRI,NEI,36834,1,carbon
7439976,Mercury,NEI,37007,0,
W117,LIQUID MERCURY,RCRAInfo,37007,1,Mercury
D009,MERCURY,RCRAInfo,37007,1,Mercury
7664939,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",TRI,38642,0,
7647010,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",TRI,38657,0,
P122,"ZINC PHOSPHIDE ZN3P2, WHEN PRESENT AT CONCENTRATIONS GREATER THAN 10% (R,T)",RCRAInfo,42847,0,
U052,"CRESOL (CRESYLIC ACID) (OR) PHENOL, METHYL-",RCRAInfo,43230,0,
W501,"LIME, ETC.",RCRAInfo,43619,1,Calcium hydroxide
134327,ALPHA-NAPHTHYLAMINE,TRI,46621,0,
U210,"ETHENE, TETRACHLORO- (OR) TETRACHLOROETHYLENE",RCRAInfo,46750,0,
U196,PYRIDINE,RCRAInfo,46949,0,
U105,"2,4-DINITROTOLUENE (OR) BENZENE, 1-METHYL-2,4-DINITRO-",RCRAInfo,46998,0,
D021,CHLOROBENZENE,RCRAInfo,47379,0,
D028,"1,2-DICHLOROETHANE",RCRAInfo,47485,0,
D027,"1,4-DICHLOROBENZENE",RCRAInfo,47524,0,
91598,BETA-NAPHTHYLAMINE,TRI,48259,0,
D042,"2,4,6-TRICHLOROPHENOL",RCRAInfo,48401,0,
D037,PENTACHLOROPHENOL,RCRAInfo,48409,0,
D033,HEXACHLOROBUTADIENE,RCRAInfo,48415,0,
D043,VINYL CHLORIDE,RCRAInfo,48531,0,
D014,"METHOXYCHLOR (1,1,1-TRICHLORO-2,2-BIS [P-METHOXYPHENYL] ETHANE)",RCRAInfo,48560,0,
D012,"ENDRIN (1,2,3,4,10,10-HEXACHLORO-1,7-EPOXY-1,4,4A,5,6,7,8,8A-OCTAHYDRO-1,4-ENDO, ENDO-5,8-DIMETH-ANO-NAPHTHALENE)",RCRAInfo,48561,0,
81072,"SACCHARIN (MANUFACTURING, NO SUPPLIER NOTIFICATION)",TRI,48660,0,
U228,"ETHENE, TRICHLORO- (OR) TRICHLOROETHYLENE",RCRAInfo,48738,0,
D035,METHYL ETHYL KETONE,RCRAInfo,48746,0,
76142,DICHLOROTETRAFLUOROETHANE (CFC-114),TRI,48831,0,
U078,"1,1-DICHLOROETHYLENE (OR) ETHENE, 1,1-DICHLORO-",RCRAInfo,48931,0,
U211,"CARBON TETRACHLORIDE (OR) METHANE, TETRACHLORO-",RCRAInfo,48965,0,
U131,"ETHANE, HEXACHLORO- (OR) HEXACHLOROETHANE",RCRAInfo,49017,0,
U044,"CHLOROFORM (OR) METHANE, TRICHLORO-",RCRAInfo,49020,0,
67630,"ISOPROPYL ALCOHOL (MANUFACTURING,STRONG-ACID PROCESS ONLY,NO SUPPLIER)",TRI,49022,0,
U129,"CYCLOHEXANE, 1,2,3,4,5,6-HEXACHLORO-, (1ALPHA, 2ALPHA, 3BETA, 4ALPHA, 5ALPHA, 6BETA)- (OR) LINDANE",RCRAInfo,49118,0,
D020,CHLORDANE,RCRAInfo,49134,0,
SO4,Sulfate Portion of PM2.5-PRI,NEI,59829,1,sulfate
W206,WASTE OIL,RCRAInfo,63019,1,Used lubricating oils
PMFINE,Remaining PMFINE portion of PM2.5-PRI,NEI,79581,1,PM2.5
DIESEL-PM25,PM25-Primary from certain diesel engines,NEI,79581,1,PM2.5
DIESEL-PM10,PM10-Primary from certain diesel engines,NEI,79583,1,PM10
D036,NITROBENZENE,RCRAInfo,87268,0,
D015,"TOXAPHENE (C10 H10 CL8, TECHNICAL CHLORINATED CAMPHENE, 67-69 PERCENT CHLORINE)",RCRAInfo,87298,0,
W312,CYANIDE,RCRAInfo,89604,0,
23564058,THIOPHANATE-METHYL,TRI,92271,0,
U127,"BENZENE, HEXACHLORO- (OR) HEXACHLOROBENZENE",RCRAInfo,95480,0,
W406,DRIED PAINT,RCRAInfo,95976,1,Paint related material
W405,"EXPLOSIVES, ETC.",RCRAInfo,96201,1,Explosive wastes
NO3,Nitrate portion of PM2.5-PRI,NEI,97628,1,nitrate
U019,"BENZENE (I,T)",RCRAInfo,98385,1,Benzene
W309,BATTERIES,RCRAInfo,98826,0,
W801,COMPRESSED GAS,RCRAInfo,98953,0,
K181,Nonwastewaters from the production of dyes and/or pigments.,RCRAInfo,101897,0,
W316,METAL SALTS/CHEM.,RCRAInfo,108395,1,Metal salt (generic)
D018,BENZENE,RCRAInfo,98385,0,
U151,MERCURY,RCRAInfo,37007,0,
